p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
152530,19713228,BALMORAL WOODS COUNTRY CLUB,1,300,3513064,3053266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6750000,3150000,18000000,4500000,,,,,,
152562,19713228,BALMORAL WOODS COUNTRY CLUB,4,120,3513839,3050592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,18000,18000,18000,,,,,,
158221,19714241,HANSON MATERIAL SERVICE - YARD 61,6,153,3389816,3121532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,,,,,,0,
223202,19714241,HANSON MATERIAL SERVICE - YARD 61,5,159,3386729,3135944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,,,,,,0,
224255,19714515,CRETE-MONEE HIGH SCHOOL,2,360,3506761,3068194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
224256,19714515,CRETE-MONEE HIGH SCHOOL,1,250,3506761,3066874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
292193,19713940,KALUZNY BROS INC,2,450,3371537,3085976,,,,,,,,,,,,,,,,,2325000,2325000,,6670000,7370000,8125000,4527450,4346400,4346400,4431400,4431400,,,60000,,,,,,,,,
304771,19713228,BALMORAL WOODS COUNTRY CLUB,5,180,3514499,3050592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3750,3750,3750,,,,,,
338236,19770000,FRANKFORT PARK DISTRICT,2,220,3460783,3081317,,,,,,,,,,,,,,,,,,,,,,,,,,972000,972000,1800000,1800000,1800000,50000,93000,700000,,,,,,
345572,19713330,ELWOOD ENERGY LLC,3,120,3377663,3065950,,,,,,,,,,,,,,,,,,,,,,,,,,67200,67200,110000,110000,,110000,110000,100000,110000,110000,110000,110000,110000,110000
359321,19795400,COLLEGE VIEW SUBD,4,305,3385049,3125841,,,,,,,,,,,,,,,,,,,,,,,,,1932000,1932000,1932000,4453100,4586400,3108300,3995500,3687600,3328200,2607500,2122000,2929200,3214600,2667100,2386300
382164,19770000,FRANKFORT PARK DISTRICT,1,200,3447901,3085064,,,,,,,,,,,,,,,,,,,,,,,,,,1050000,1050000,450000,450000,450000,720000,198000,768000,,,,,,
400038,19790450,JOLIET,18,1460,3358761,3069868,,,,,,,,,,,,,,,,,,,,,,,,,372610000,464453000,291788000,291788000,,167701000,332436000,301516000,273166000,308945000,296547000,,272678,188200000,
400177,19790550,MANHATTAN,7,1770,3417111,3057406,,,,,,,,,,,,,,,,,,,,,,180000,12876000,55147000,77163000,123473000,123473000,135942000,104000,537000,709000,780000,681000,707000,12844000,537000,303000,3351000,
400178,19790650,MONEE,4,450,3475894,3058172,,,,,,,,,,,,,,,,,,,,109376000,135255000,61264000,50528000,51909000,33228000,69869000,96179000,96179000,96179000,76325000,76325000,106710000,82793000,70027000,62359000,64673000,69927000,61276000,
400180,,FRANKFORT,10,525,3454817,3088316,,,,,,,,,,,,,,,,,,,,,,,221662000,286665025,380355961,387819000,401362000,343711000,389957000,185703000,239828000,317814000,285292000,132214000,101952000,111085000,136859000,129847000,
400181,19790450,JOLIET,17,1525,3340652,3102920,,,,,,,,,,,,,,,,,,,,,,,270328125,270328125,346099000,402678000,335548000,335548000,129593000,229229000,211014000,212898000,174902000,236707000,105469000,,237058,93915000,
400182,19790900,ROMEOVILLE,12,245,3370677,3125017,,,,,,,,,,,,,,,,,,,0,,77294500,281022500,176861470,147334500,166628000,191479000,147874020,162349000,142027000,166255600,260000000,200000000,240570000,262979000,224186000,300292000,242112000,284620800,
400183,19790250,CREST HILL,12,301,3380214,3114540,,,,,,,,,,,,,,,,,,,,,,,,74448000,102275000,92716000,79110000,79713000,76907000,86522000,85035000,85035000,71801000,,109716000,,,,
400184,19790250,CREST HILL,10,301,3372480,3114244,,,,,,,,,,,,,,,,,,,,,,83202500,121991200,116539000,109078000,108070000,144348000,169764000,154404000,142742000,116553000,116553000,145119000,148196000,125217000,,,,
400185,19790250,CREST HILL,11,325,3380214,3109308,,,,,,,,,,,,,,,,,,,,,,,22197000,142295000,130566000,135522000,140797000,116709000,111569000,111020000,101225000,101225000,122230000,114670000,108855000,,,,
400186,19790500,LOCKPORT,9,420,,,,,,,,,,,,,,,,,,,,,,,,70609000,11951000,126609375,137053000,137053000,162990000,174769000,211005000,71420000,81031000,81296000,36293976,58580000,,,0,,
400187,19790500,LOCKPORT,8,400,3401937,3116359,,,,,,,,,,,,,,,,,,,,3000000,49062000,68837000,49557000,126609375,49543000,49543000,56892000,93873000,71525000,73843000,100051000,53054000,,,,,0,,
400188,19790800,PLAINFIELD,6,1490,3350192,3139615,,,,,,,,,,,,,,,,,,,,0,63034000,179647000,216967000,46944000,10307000,,6186000,,,252000,,252000,,,,,,,
400189,19790800,PLAINFIELD,7,1500,3351613,3139248,,,,,,,,,,,,,,,,,,,,,,,54225000,54811000,27349000,16935000,4613000,,,252000,,252000,,,,,,,
400190,19794150,BOLINGBROOK,13,265,3371291,3153196,,,,,,,,,,,,,,,,,,,,105749000,15008000,,,,,,,,,,,,,,,,,,
401404,04314862,PANDUIT CORP - NEW LENOX PLANT,1,335,3428904,3083780,0,3800000,3950000,3950000,3957900,3960000,3960000,3996000,3900000,3000000,1000000,1000000,1000000,759000,775896,981882,1106028,1062936,1235304,,1026000,1160386,948659,948659,948659,1211336,2583889,2314606,2314606,1119276,6681,6681,0,0,0,0,0,,
401405,04314862,PANDUIT CORP - NEW LENOX PLANT,2,,3428904,3083780,0,0,0,113880,114107,115000,115000,115583,119600,100000,50000,50000,50000,84000,78661,134100,60900,70350,54750,,31680,58596,71813,71813,71813,322275,251564,29518,29518,1626354,647120,647120,0,490940,0,0,0,,
401500,04316928,NAPERBROOK GOLF COURSE,1,1485,3365134,3151359,,,,,,,,,,11880000,40821000,35244000,25000000,47000000,36217500,36217500,,,,,21600000,42122000,45012000,45012000,45012000,,,24561000,14500000,19500000,17900000,28674000,,,,,,,
401620,,VALLEY CONCRETE,,53,3346038,3061301,0,0,0,200000,300000,500000,500000,,,1600000,,140000,140000,140000,150000,28000,,,28000,28000,,,,,,,,,,,,,,,,,,,
402046,09169910,KANKAKEE RIVER STATE PARK,5,102,3403992,2981859,312440,,,,,127000,2250000,2250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402386,19713730,OLIN CORP  JOLIET PLANT,6,1498,3375125,3079424,,,,,,,,,,,42048000,43200000,43400000,25350000,14560000,5000000,5000000,18000000,19500000,21000000,15400000,9000000,9000000,13250000,11500000,11500000,11500000,10000000,9240000,9240000,8800000,5752000,4252000,4252000,4252000,4252000,4000000,3000000,
