STR_ORD_MI,STR_ORD_MA,SUM_LENGTH,rvr_stg,lamx,lamy
2,3,3664.30613212000,851.42999267600,2481499.99996000000,3955999.99999000000
8,8,3553.95169543000,636.33001709000,2519000.00010000000,3955999.99999000000
8,8,720.02293664400,636.33001709000,2521500.00002000000,3955999.99999000000
5,5,1597.12789351000,635.92999267600,2523999.99994000000,3955999.99999000000
5,5,955.79294182000,635.92999267600,2526500.00002000000,3955999.99999000000
4,4,2546.99399164000,635.83001709000,2531500.00003000000,3955999.99999000000
4,4,1263.80969175000,635.92999267600,2539000.00012000000,3955999.99999000000
4,4,2682.85312463000,635.92999267600,2541500.00004000000,3955999.99999000000
5,5,2707.90783283000,665.20001220700,2574000.00000000000,3955999.99999000000
5,5,1079.62251869000,704.19000244100,2604000.00004000000,3955999.99999000000
5,5,3449.40859987000,708.46002197300,2608999.99988000000,3955999.99999000000
2,5,2326.53394448000,709.80999755900,2611499.99997000000,3955999.99999000000
3,3,834.29336870500,741.95001220700,2624000.00007000000,3955999.99999000000
3,3,2158.16153908000,747.33001709000,2626499.99999000000,3955999.99999000000
4,4,3223.97386344000,758.71997070300,2646500.00002000000,3955999.99999000000
4,4,1237.95700639000,888.85998535200,2806499.99990000000,3955999.99999000000
4,4,1871.56979962000,888.85998535200,2808999.99998000000,3955999.99999000000
4,4,3588.57921528000,887.53002929700,2811500.00007000000,3955999.99999000000
2,4,3713.31883315000,878.88000488300,2813999.99999000000,3955999.99999000000
5,5,5629.14343028000,878.75000000000,2824000.00000000000,3955999.99999000000
2,5,375.05472775600,878.75000000000,2826499.99992000000,3955999.99999000000
5,5,1465.28841433000,880.90997314500,2866499.99998000000,3955999.99999000000
5,5,2521.35538637000,880.90002441400,2868999.99990000000,3955999.99999000000
5,5,1796.61585671000,880.90002441400,2871499.99998000000,3955999.99999000000
5,5,877.20389358800,880.90002441400,2876499.99999000000,3955999.99999000000
3,6,7638.68207313000,880.90002441400,2878999.99991000000,3955999.99999000000
2,3,5284.19805481000,818.73999023400,3021500.00001000000,3955999.99999000000
2,3,4295.90676592000,818.73999023400,3023999.99994000000,3955999.99999000000
4,4,1657.03978257000,792.90997314500,3056499.99990000000,3955999.99999000000
4,4,2840.66475256000,791.78002929700,3058999.99998000000,3955999.99999000000
4,4,2757.97956642000,790.90002441400,3061500.00007000000,3955999.99999000000
5,5,1895.31464621000,756.60998535200,3108999.99988000000,3955999.99999000000
5,5,2686.36697277000,756.40997314500,3111499.99997000000,3955999.99999000000
3,5,2848.92181213000,756.39001464800,3114000.00005000000,3955999.99999000000
5,5,892.58551737000,756.39001464800,3116499.99997000000,3955999.99999000000
5,5,1793.85910125000,756.39001464800,3118999.99990000000,3955999.99999000000
4,4,851.84496865400,756.39001464800,3121499.99998000000,3955999.99999000000
4,4,4899.57284960000,756.39001464800,3124000.00007000000,3955999.99999000000
2,4,2312.46932400000,756.39001464800,3126499.99999000000,3955999.99999000000
3,3,3079.48116032000,773.41998291000,3261500.00000000000,3955999.99999000000
4,4,2508.04498801000,738.90997314500,3289000.00012000000,3955999.99999000000
2,3,4566.76631592000,899.14001464800,3331500.00009000000,3955999.99999000000
4,4,2139.60436649000,888.38000488300,3381499.99999000000,3955999.99999000000
4,4,2703.35680811000,888.38000488300,3384000.00008000000,3955999.99999000000
4,4,2369.18988217000,847.14001464800,3401500.00002000000,3955999.99999000000
4,4,2587.53377553000,843.28997802700,3404000.00010000000,3955999.99999000000
2,3,4502.07516270000,711.27001953100,3443999.99999000000,3955999.99999000000
3,3,1324.14367273000,709.02001953100,3446500.00008000000,3955999.99999000000
4,4,7126.42190140000,683.77001953100,3901500.00002000000,3955999.99999000000
2,3,3445.12721099000,830.44000244100,2481499.99996000000,3953499.99991000000
8,8,3682.72814551000,636.33001709000,2521500.00002000000,3953499.99991000000
8,8,6657.74856541000,635.65002441400,2523999.99994000000,3953499.99991000000
5,8,3956.30661782000,635.65002441400,2526500.00002000000,3953499.99991000000
4,4,2516.27708569000,635.65002441400,2531500.00003000000,3953499.99991000000
