p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,2002
411178,19797210,AQUA ILLINOIS - OAKVIEW,4,305,3396327,3092274,152400000
409294,19797210,AQUA ILLINOIS - OAKVIEW,3,257,3396008,3092088,20000000
409293,19797210,AQUA ILLINOIS - OAKVIEW,2,200,3396683,3092743,0
409179,19790050,BEECHER,3,500,3518251,3034058,41149000
409180,19790050,BEECHER,2,230,3511432,3030331,0
409181,19790050,BEECHER,1,164,3511502,3030337,0
409420,19794150,BOLINGBROOK,2,320,3392479,3163903,0
409422,19794150,BOLINGBROOK,1,320,3392419,3164082,184302000
400190,19794150,BOLINGBROOK,13,265,3371291,3153196,105749000
409426,19794150,BOLINGBROOK,11,150,3372443,3159593,0
411835,19795140,BONNIE BRAE - FOREST MANOR SAN DIST,2,340,3403366,3124244,43994000
411834,19795140,BONNIE BRAE - FOREST MANOR SAN DIST,1,310,3399455,3121389,40315000
405095,19712133,BROKEN ARROW GOLF COURSE,1,300,3404579,3112414,37986000
405221,19716655,CENTRAL SOD FARMS - WILL CTY,8,325,3351729,3157934,0
412265,19716655,CENTRAL SOD FARMS - WILL CTY,11,325,3351069,3157274,0
405199,19716655,CENTRAL SOD FARMS - WILL CTY,7,205,3346875,3149833,40920000
405143,19716655,CENTRAL SOD FARMS - WILL CTY,3,190,3341837,3158396,0
405142,19716655,CENTRAL SOD FARMS - WILL CTY,2,160,3342497,3157736,0
405144,19716655,CENTRAL SOD FARMS - WILL CTY,4,160,3353681,3158120,0
405145,19716655,CENTRAL SOD FARMS - WILL CTY,5,145,3352361,3158780,0
405141,19716655,CENTRAL SOD FARMS - WILL CTY,1,,3341837,3157736,0
409304,19795360,CLEARVIEW SUBD,1,240,3388516,3086938,26370900
409305,19795360,CLEARVIEW SUBD,2,220,3388483,3086549,10856880
409390,19790250,CREST HILL,6,352,3375586,3104413,30179600
400185,19790250,CREST HILL,11,325,3380214,3109308,0
405028,19790250,CREST HILL,9,320,3369877,3106421,183780300
409391,19790250,CREST HILL,3,310,3373567,3108086,0
409396,19790250,CREST HILL,1,303,3381933,3107119,94091200
400183,19790250,CREST HILL,12,301,3380214,3114540,0
400184,19790250,CREST HILL,10,301,3372480,3114244,83202500
409393,19790250,CREST HILL,4,300,3370752,3107493,2101500
409395,19790250,CREST HILL,7,296,3380497,3106675,15663700
409392,19790250,CREST HILL,5,282,3373680,3105024,0
409362,19790250,CREST HILL,8,180,3369789,3103944,0
409216,19790300,CRETE,6,520,3522804,3072722,52099700
411709,19790300,CRETE,9,439,,,0
409217,19790300,CRETE,4,350,3516184,3076375,82863800
409228,19790300,CRETE,5,265,3510451,3064057,29038200
409225,19790300,CRETE,2,264,3509401,3066874,0
409227,19790300,CRETE,3,263,3509388,3068651,39952000
409226,19790300,CRETE,1,192,3509401,3067534,0
224255,19714515,CRETE-MONEE HIGH SCHOOL,2,360,3506761,3068194,0
409942,19714515,CRETE-MONEE HIGH SCHOOL,0,283,3506789,3065858,56701900
224256,19714515,CRETE-MONEE HIGH SCHOOL,1,250,3506761,3066874,0
411053,19795480,CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC.,6,260,3362032,3109359,725500
409357,19795480,CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC.,1,250,3363347,3108946,8958900
409358,19795480,CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC.,2,250,3363476,3109965,6145500
409359,19795480,CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC.,3,250,3362020,3109810,354900
409360,19795480,CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC.,4,250,3360037,3110007,7576700
409361,19795480,CRYSTAL LAWNS ADDITION IMPROVEMENT ASSOC.,5,250,3361489,3111063,3935700
404144,19714711,DEER CREEK GOLF COURSE,1,400,3499635,3064116,200000000
404057,19713620,DESOTO LLC,1,250,3393027,3094254,15966500
409198,19790350,ELWOOD,4,300,3379080,3049115,108000
409197,19790350,ELWOOD,3,230,3379359,3050272,22804000
409195,19790350,ELWOOD,2,225,3380070,3050806,22510000
411881,19714747,EVERGREEN SOD FARM,6,390,3477058,3024570,14283333.33
