lambx,lamby,Head_ftAMS
3479057.00000000000,3057891.00000000000,705.00000000000
3477447.00000000000,3058233.00000000000,691.00000000000
3439284.00000000000,3096459.00000000000,671.00000000000
3447053.00000000000,3101788.00000000000,678.00000000000
3440363.00000000000,3098077.00000000000,675.00000000000
3437211.00000000000,3086796.00000000000,638.00000000000
3518090.00000000000,3051210.00000000000,695.60000000000
3535640.00000000000,3082870.00000000000,617.90000000000
3452150.00000000000,3059860.00000000000,704.60000000000
3467190.00000000000,3069580.00000000000,702.20000000000
3398670.00000000000,3081690.00000000000,607.14000000000
3445820.00000000000,3151980.00000000000,598.20000000000
3501160.00000000000,3142380.00000000000,580.45000000000
3484070.00000000000,3125670.00000000000,624.00000000000
3414847.00000000000,3133298.00000000000,647.50000000000
3528690.00000000000,3125360.00000000000,548.00000000000
3518976.00000000000,3145232.00000000000,550.00000000000
3512062.00000000000,3157453.00000000000,571.00000000000
3536431.00000000000,3166781.50680000000,555.00000000000
3464720.00000000000,3038200.00000000000,701.00000000000
3509455.00000000000,3111820.00000000000,500.00000000000
3422974.00000000000,3341936.00000000000,610.00000000000
3368652.00000000000,3387986.00000000000,739.00000000000
3351916.00000000000,3422064.00000000000,734.00000000000
3396884.00000000000,3335561.00000000000,682.00000000000
3402896.00000000000,3342973.00000000000,657.00000000000
3439901.00000000000,3312950.00000000000,595.00000000000
3461748.00000000000,3307956.00000000000,595.00000000000
3435931.00000000000,3337338.00000000000,599.00000000000
3440567.00000000000,3333383.00000000000,598.00000000000
3441198.00000000000,3338032.00000000000,592.00000000000
3443355.00000000000,3375489.00000000000,585.00000000000
3440518.00000000000,3324180.00000000000,599.00000000000
3448514.00000000000,3378098.00000000000,580.00000000000
3450383.00000000000,3339377.00000000000,582.00000000000
3408827.00000000000,3325866.00000000000,628.00000000000
3403941.00000000000,3353506.00000000000,692.00000000000
3365093.00000000000,3360222.00000000000,748.00000000000
3362418.00000000000,3360887.00000000000,750.00000000000
3456240.00000000000,3140558.00000000000,672.00000000000
3464846.00000000000,3112124.00000000000,662.00000000000
3486316.00000000000,3082276.00000000000,669.00000000000
3480931.00000000000,3080777.00000000000,675.00000000000
3434770.00000000000,3198493.00000000000,490.00000000000
3435390.00000000000,3184193.00000000000,608.00000000000
3436243.00000000000,3184701.00000000000,597.00000000000
3514012.00000000000,3193015.00000000000,555.00000000000
3505005.00000000000,3085487.00000000000,629.00000000000
3426233.00000000000,3301756.00000000000,593.00000000000
3530017.00000000000,3086770.00000000000,617.00000000000
3418124.00000000000,3287882.00000000000,623.00000000000
